Thumb,Index,Middle,Ring,Pinky,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Letter
970,0,0,0,0,9.77,-1.93,-0.71,-0.09,-0.00,-0.02,-30
990,0,0,0,0,9.92,-1.98,-0.61,-0.09,0.01,-0.01,-30
967,0,0,0,0,9.92,-2.01,-0.69,-0.08,0.00,-0.02,-30
912,0,0,0,0,9.84,-1.99,-0.75,-0.09,0.01,-0.02,-30
975,0,0,0,0,9.84,-2.06,-0.71,-0.08,0.01,-0.01,-30
923,0,0,0,0,9.88,-1.99,-0.71,-0.11,0.02,0.01,-30
911,0,0,0,0,9.91,-2.10,-0.69,-0.10,0.02,-0.01,-30
887,0,0,0,0,9.88,-1.95,-0.63,-0.07,0.01,-0.02,-30
912,0,0,0,0,9.84,-2.02,-0.79,-0.11,0.01,-0.00,-30
857,0,0,0,0,9.80,-2.03,-0.71,-0.11,0.01,0.00,-30
825,0,0,0,0,9.90,-2.12,-0.68,-0.10,0.02,-0.01,-30
636,0,0,0,0,9.86,-2.05,-0.65,-0.12,0.02,0.00,-30
510,0,0,0,0,9.85,-1.85,-0.69,-0.13,0.05,0.02,-30
788,0,0,0,0,9.84,-2.18,-0.68,-0.07,0.02,-0.01,-30
784,0,0,0,0,9.87,-2.01,-0.66,-0.09,0.00,-0.02,-30
918,0,0,0,0,9.82,-2.14,-0.79,-0.08,0.01,-0.01,-30
889,0,0,0,0,9.79,-1.96,-0.64,-0.10,0.00,0.00,-30
986,0,0,0,0,9.86,-2.13,-0.63,-0.11,0.00,-0.01,-30
941,0,0,0,0,9.85,-2.09,-0.78,-0.10,-0.00,-0.01,-30
918,0,0,0,0,9.86,-2.15,-0.85,-0.10,0.00,-0.01,-30
957,0,0,0,0,9.84,-2.12,-0.68,-0.09,-0.00,0.01,-30
969,0,0,0,0,9.92,-1.98,-0.82,-0.07,0.01,-0.00,-30
1034,0,0,0,0,9.87,-2.06,-0.74,-0.09,0.02,-0.01,-30
1029,0,0,0,0,9.96,-2.06,-0.70,-0.10,0.02,0.01,-30
1022,0,0,0,0,9.90,-1.95,-0.75,-0.10,0.02,-0.00,-30
1035,0,0,0,0,9.81,-2.02,-0.80,-0.10,0.02,-0.01,-30
1018,0,0,0,0,9.90,-2.01,-0.80,-0.09,0.01,-0.00,-30
1017,0,0,0,0,9.79,-1.96,-0.70,-0.10,0.02,-0.02,-30
1034,0,0,0,0,9.78,-2.02,-0.70,-0.09,0.01,-0.01,-30
1021,0,0,0,0,9.86,-2.05,-0.77,-0.11,0.02,0.00,-30
983,0,0,0,0,9.88,-2.05,-0.69,-0.12,0.02,-0.01,-30
1008,0,0,0,0,9.82,-2.11,-0.70,-0.14,0.02,-0.01,-30
1064,0,0,0,0,9.90,-1.86,-0.75,-0.10,-0.00,-0.01,-30
1069,0,0,0,0,9.88,-2.05,-0.74,-0.12,0.02,0.01,-30
1047,0,0,0,0,9.86,-1.99,-0.65,-0.13,0.03,0.00,-30
1071,0,0,0,0,9.91,-2.06,-0.76,-0.10,0.02,-0.01,-30
