Thumb,Index,Middle,Ring,Pinky,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Letter
272,193,852,166,466,9.35,-1.29,-2.73,-0.27,-0.04,0.07,-29
286,189,752,173,469,9.06,-1.49,-3.43,-0.35,-0.02,0.15,-29
235,152,741,170,454,9.39,-1.54,-2.85,-0.33,0.19,0.15,-29
181,167,710,171,428,9.37,-1.50,-2.59,-0.35,0.11,0.06,-29
285,183,731,159,435,9.50,-1.02,-2.51,-0.25,0.09,-0.02,-29
263,166,752,182,453,9.41,-0.96,-2.66,-0.16,-0.01,0.04,-29
272,167,715,159,430,9.38,-1.30,-2.45,-0.16,0.05,0.00,-29
278,128,702,154,421,9.39,-1.16,-2.75,-0.16,0.03,0.03,-29
283,175,717,166,432,9.47,-1.16,-2.47,-0.09,-0.00,0.02,-29
270,162,707,172,401,9.36,-1.35,-2.70,-0.07,-0.01,-0.03,-29
291,150,671,195,412,9.37,-1.25,-2.89,-0.08,-0.00,-0.01,-29
299,169,672,160,423,9.42,-1.18,-2.72,-0.09,0.04,-0.00,-29
303,128,653,161,406,9.26,-1.26,-2.76,-0.11,-0.01,0.01,-29
291,115,592,162,418,9.25,-1.47,-3.32,-0.17,-0.06,0.05,-29
310,126,609,187,435,9.32,-1.45,-2.95,-0.20,0.12,0.08,-29
293,121,592,181,395,9.46,-1.27,-2.45,-0.12,-0.06,-0.04,-29
302,156,621,159,423,9.34,-1.33,-3.09,-0.10,-0.01,0.01,-29
316,166,627,142,409,9.32,-1.49,-2.84,-0.15,0.09,0.03,-29
304,144,624,162,428,9.54,-1.39,-2.36,-0.11,0.04,-0.02,-29
311,111,624,159,396,9.26,-1.18,-3.14,-0.04,-0.08,-0.02,-29
307,131,618,151,393,9.21,-1.54,-3.13,-0.06,-0.03,0.03,-29
310,98,624,143,400,9.39,-1.47,-3.09,-0.19,0.05,-0.02,-29
292,126,593,170,413,9.43,-1.23,-2.63,-0.17,0.18,0.04,-29
304,112,624,187,439,9.30,-1.47,-3.26,-0.09,-0.02,-0.02,-29
292,117,613,190,426,9.28,-1.59,-2.79,-0.07,-0.11,0.03,-29
316,102,639,203,435,9.15,-1.63,-3.28,-0.08,-0.02,-0.06,-29
286,127,634,207,451,9.42,-1.35,-2.67,-0.13,0.06,0.05,-29
291,94,683,209,426,9.42,-1.30,-2.91,-0.10,0.01,-0.02,-29
272,73,659,178,349,9.35,-1.37,-2.84,-0.10,0.03,0.00,-29
272,99,656,194,350,9.35,-1.37,-2.87,-0.11,0.01,-0.00,-29
282,77,658,197,337,9.38,-1.38,-2.81,-0.09,0.02,0.02,-29
272,88,656,211,377,9.29,-1.39,-2.93,-0.10,0.02,-0.01,-29
261,112,656,199,365,9.31,-1.47,-2.81,-0.11,0.02,0.01,-29
294,119,624,218,400,9.32,-1.45,-2.89,-0.10,0.01,-0.02,-29
272,117,634,210,383,9.35,-1.36,-2.73,-0.12,0.03,0.01,-29
300,107,599,223,401,9.35,-1.38,-2.81,-0.09,0.01,-0.02,-29
309,141,617,211,404,9.24,-1.36,-2.87,-0.10,0.02,-0.01,-29
256,96,587,206,358,9.31,-1.44,-2.82,-0.11,0.00,0.01,-29
293,99,595,198,350,9.35,-1.37,-2.84,-0.13,-0.00,-0.01,-29
304,110,595,209,398,9.31,-1.30,-2.75,-0.11,-0.00,-0.00,-29
289,116,594,208,400,9.21,-1.34,-2.78,-0.10,0.02,-0.01,-29
295,119,590,206,397,9.32,-1.26,-2.90,-0.10,0.02,-0.00,-29
304,106,601,218,413,9.30,-1.30,-2.87,-0.10,0.01,-0.01,-29
321,109,610,208,359,9.24,-1.24,-3.07,-0.12,0.05,0.03,-29
293,115,608,215,363,9.36,-1.33,-2.67,-0.10,0.09,0.02,-29
328,96,618,208,382,9.38,-1.58,-2.86,-0.07,0.01,-0.03,-29
239,64,591,188,383,9.30,-1.10,-2.88,-0.11,0.10,0.04,-29
299,107,592,188,389,9.54,-1.57,-2.25,-0.07,-0.03,0.06,-29
304,112,572,202,375,9.50,-1.79,-2.21,-0.02,-0.13,-0.05,-29
303,163,554,179,402,9.06,-1.49,-3.60,-0.08,0.00,-0.12,-29
324,100,597,195,374,9.40,-1.04,-2.75,-0.18,0.15,0.00,-29
317,127,595,194,410,9.33,-1.58,-2.59,-0.10,0.01,0.06,-29
319,117,592,192,415,9.28,-1.60,-2.82,-0.08,-0.05,-0.01,-29
246,134,599,193,411,9.32,-1.15,-2.81,-0.10,0.04,-0.02,-29
262,113,572,193,410,9.51,-1.26,-2.77,-0.13,0.05,0.03,-29
263,134,564,190,416,9.32,-1.60,-2.64,-0.10,0.01,0.02,-29
251,110,511,175,380,9.36,-1.38,-2.85,-0.11,0.02,-0.01,-29
240,103,545,181,384,9.33,-1.55,-2.80,-0.10,0.01,-0.00,-29
265,121,583,200,393,9.40,-1.43,-2.64,-0.10,-0.00,0.01,-29
253,113,530,190,350,9.40,-1.40,-2.81,-0.12,0.02,0.00,-29
274,102,501,190,325,9.47,-1.38,-2.61,-0.09,-0.02,-0.00,-29
276,99,585,199,336,9.42,-1.47,-2.84,-0.11,0.04,-0.03,-29
299,85,519,204,384,9.34,-1.51,-2.79,-0.09,-0.01,-0.01,-29
284,112,541,199,393,9.32,-1.41,-2.74,-0.10,0.00,-0.02,-29
273,89,530,178,336,9.35,-1.41,-2.83,-0.09,-0.00,0.00,-29
252,95,565,197,353,9.36,-1.34,-2.81,-0.12,0.02,-0.02,-29
265,87,553,201,350,9.35,-1.32,-2.78,-0.10,0.03,-0.01,-29
278,81,560,177,336,9.39,-1.32,-2.72,-0.09,0.01,0.00,-29
246,80,538,154,306,9.33,-1.44,-2.87,-0.13,0.06,-0.03,-29
288,72,528,168,336,9.44,-1.23,-2.64,-0.10,-0.01,0.02,-29
272,78,524,167,342,9.37,-1.43,-2.86,-0.09,0.04,-0.02,-29
273,63,501,177,304,9.36,-1.35,-2.88,-0.08,-0.04,-0.00,-29
302,64,505,163,299,9.26,-1.43,-3.10,-0.10,0.00,-0.03,-29
298,61,487,161,292,9.36,-1.40,-2.80,-0.02,0.06,-0.03,-29
306,58,510,159,297,9.47,-1.14,-2.73,-0.12,-0.00,-0.02,-29
295,69,489,166,304,9.31,-1.39,-2.93,-0.07,0.04,0.01,-29
333,60,455,192,320,9.26,-1.44,-3.11,-0.07,-0.05,-0.02,-29
320,46,450,189,319,9.22,-1.34,-3.11,-0.13,0.08,-0.01,-29
309,50,503,173,330,9.42,-1.32,-2.64,-0.11,0.01,0.02,-29
327,66,505,190,343,9.25,-1.51,-3.15,-0.08,-0.01,-0.03,-29
320,70,496,177,323,9.28,-1.29,-2.89,-0.10,0.04,0.00,-29
335,54,491,174,353,9.24,-1.45,-2.94,-0.11,0.03,-0.01,-29
336,64,494,171,343,9.32,-1.36,-2.67,-0.09,0.01,0.02,-29
320,64,507,176,341,9.23,-1.54,-2.92,-0.09,-0.04,0.02,-29
323,72,469,176,336,9.38,-1.14,-2.81,-0.12,0.06,-0.05,-29
322,62,485,171,325,9.38,-1.35,-2.89,-0.10,-0.00,0.02,-29
324,48,452,153,336,9.25,-1.58,-2.79,-0.06,-0.02,-0.04,-29
297,48,430,159,330,9.26,-1.21,-3.07,-0.07,0.00,-0.03,-29
292,36,435,156,323,9.36,-1.28,-2.89,-0.11,0.01,0.02,-29
304,22,437,142,297,9.28,-1.47,-2.90,-0.13,0.01,0.07,-29
304,50,454,159,305,9.29,-1.25,-2.82,-0.09,0.02,-0.01,-29
304,16,453,139,308,9.22,-1.63,-3.13,-0.11,0.00,-0.00,-29
298,32,417,145,275,9.32,-1.29,-2.93,-0.11,0.03,0.04,-29
304,0,431,138,294,9.30,-1.51,-2.95,-0.11,0.00,0.06,-29
286,4,428,139,293,9.22,-1.70,-3.09,-0.10,0.02,0.01,-29
196,0,340,140,301,9.30,-1.53,-2.98,-0.10,0.02,-0.01,-29
274,14,433,112,271,9.25,-1.51,-2.80,-0.09,0.01,-0.01,-29
302,32,478,120,305,9.20,-1.53,-2.92,-0.08,0.01,-0.01,-29
308,47,465,127,299,9.26,-1.56,-3.13,-0.11,0.02,-0.02,-29
293,54,496,130,277,9.21,-1.55,-2.89,-0.10,0.02,-0.00,-29
316,48,454,134,304,9.21,-1.51,-2.97,-0.09,-0.00,-0.01,-29
310,80,445,138,275,9.19,-1.45,-2.94,-0.09,0.01,-0.00,-29
325,78,447,135,295,9.30,-1.54,-3.14,-0.09,0.01,-0.01,-29
337,65,482,138,304,9.28,-1.56,-3.08,-0.08,0.01,0.01,-29
330,80,451,130,270,9.24,-1.57,-2.99,-0.09,0.02,-0.01,-29
336,49,467,128,268,9.22,-1.56,-3.11,-0.13,-0.01,-0.01,-29
366,41,442,139,259,9.19,-1.56,-3.20,-0.09,-0.00,-0.02,-29
342,55,448,145,267,9.16,-1.62,-3.18,-0.10,0.01,-0.01,-29
352,58,458,142,277,9.16,-1.55,-3.18,-0.12,0.03,-0.02,-29
327,69,426,144,274,9.26,-1.43,-2.97,-0.10,-0.01,-0.02,-29
347,53,422,169,247,9.19,-1.51,-3.21,-0.10,-0.02,-0.01,-29
368,42,403,145,267,9.17,-1.53,-3.20,-0.11,0.01,-0.01,-29
359,48,422,165,300,9.16,-1.52,-3.15,-0.10,0.01,-0.01,-29
348,35,434,167,296,9.20,-1.48,-3.23,-0.08,0.01,-0.01,-29
368,16,432,153,265,9.17,-1.51,-3.20,-0.10,0.01,-0.01,-29
327,1,400,144,294,9.14,-1.46,-3.21,-0.11,0.02,-0.02,-29
353,16,421,160,304,9.12,-1.62,-3.17,-0.11,0.02,0.00,-29
359,6,433,175,304,9.18,-1.58,-3.21,-0.11,0.01,-0.00,-29
350,1,413,176,298,9.19,-1.46,-3.15,-0.10,0.03,-0.01,-29
367,3,421,206,303,9.21,-1.44,-3.32,-0.12,0.03,-0.02,-29
342,22,400,247,290,9.16,-1.51,-3.16,-0.11,0.02,0.00,-29
348,6,398,271,317,9.26,-1.54,-3.09,-0.11,0.01,-0.01,-29
342,16,427,240,272,9.26,-1.48,-3.15,-0.10,-0.00,-0.00,-29
354,0,434,290,246,9.12,-1.55,-3.21,-0.11,0.02,0.00,-29
333,5,399,294,318,9.21,-1.30,-3.14,-0.11,0.03,0.00,-29
449,11,429,322,299,9.11,-1.78,-3.29,-0.19,-0.01,-0.00,-29
315,16,356,531,291,9.15,-1.70,-3.28,-0.13,0.02,0.00,-29
336,0,304,585,286,9.17,-1.41,-3.11,-0.08,0.02,-0.02,-29
329,0,323,638,255,9.17,-1.44,-3.20,-0.10,0.03,-0.00,-29
322,14,336,662,261,9.28,-1.43,-3.16,-0.11,0.01,-0.01,-29
340,3,382,629,304,9.18,-1.45,-3.27,-0.12,0.03,-0.01,-29
353,1,418,582,304,9.20,-1.46,-3.17,-0.09,0.02,-0.01,-29
351,3,384,468,295,9.22,-1.35,-3.05,-0.09,0.02,-0.00,-29
351,0,347,368,234,9.15,-1.50,-3.25,-0.07,0.02,-0.02,-29
343,0,304,225,261,9.19,-1.55,-3.17,-0.10,0.04,-0.02,-29
341,7,226,0,210,9.21,-1.50,-3.26,-0.10,0.05,0.00,-29
309,7,270,0,234,9.25,-1.47,-3.22,-0.09,0.01,-0.00,-29
331,2,254,0,265,9.22,-1.48,-3.12,-0.12,0.03,0.00,-29
350,5,237,0,178,9.15,-1.49,-3.18,-0.11,0.01,-0.02,-29
369,4,285,0,210,9.17,-1.40,-2.94,-0.08,-0.01,-0.01,-29
345,13,315,17,119,9.23,-1.44,-3.07,-0.10,0.01,-0.00,-29
349,10,321,46,94,9.20,-1.50,-3.05,-0.09,0.01,-0.01,-29
364,22,227,0,67,9.21,-1.51,-3.19,-0.11,0.01,-0.00,-29
386,7,234,0,84,9.17,-1.56,-3.14,-0.11,0.01,-0.00,-29
343,293,279,0,100,9.22,-1.49,-3.14,-0.10,0.05,-0.01,-29
283,487,287,0,132,9.37,-1.59,-3.19,-0.11,0.06,-0.01,-29
294,597,240,0,142,9.39,-1.46,-3.11,-0.09,0.05,-0.01,-29
367,488,290,0,146,9.14,-1.48,-3.16,-0.11,0.01,-0.00,-29
356,519,305,0,124,9.17,-1.54,-2.92,-0.11,0.00,-0.00,-29
370,482,336,0,128,9.23,-1.44,-3.15,-0.11,0.02,-0.01,-29
404,481,331,0,157,9.20,-1.50,-3.01,-0.09,0.01,0.00,-29
367,445,315,68,151,9.23,-1.63,-3.07,-0.10,0.02,0.00,-29
347,361,321,77,166,9.29,-1.47,-3.18,-0.10,0.01,-0.01,-29
353,394,317,80,154,9.20,-1.47,-3.18,-0.10,0.03,-0.01,-29
350,191,330,80,147,9.23,-1.41,-3.12,-0.11,0.01,-0.00,-29
313,0,339,100,159,9.17,-1.47,-3.00,-0.10,-0.00,0.00,-29
336,0,323,80,143,9.22,-1.56,-3.21,-0.10,0.01,-0.01,-29
320,0,336,80,151,9.16,-1.50,-3.12,-0.09,0.01,-0.00,-29
363,0,359,99,144,9.13,-1.48,-3.10,-0.10,0.02,-0.00,-29
363,0,362,89,155,9.26,-1.53,-3.00,-0.10,0.01,0.00,-29
