Thumb,Index,Middle,Ring,Pinky,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Letter
0,0,0,0,0,4.49,-2.20,-6.45,4.05,-0.65,-0.80,A
0,0,0,0,0,6.47,-9.27,-1.30,4.37,-0.54,-1.91,A
0,719,225,0,0,7.12,-6.33,0.39,2.21,0.74,-1.14,A
0,2083,1280,378,621,8.18,-5.47,2.13,0.96,0.46,-0.43,A
550,0,0,0,0,7.40,-5.00,5.32,1.01,-0.31,0.54,A
795,0,0,0,0,6.44,-5.48,4.65,0.82,0.11,0.50,A
101,0,0,0,0,6.58,-9.01,6.88,-1.21,0.52,1.57,A
114,0,0,0,0,5.38,-3.24,-2.74,-4.37,0.96,0.57,A
304,0,0,0,0,3.07,-6.87,-6.61,-0.47,-0.70,0.24,A
0,0,179,1520,1576,1.42,-9.23,-5.00,1.84,-0.41,0.04,A
0,0,1034,896,1165,1.75,-12.27,-2.51,0.15,0.42,-0.31,A
0,2407,378,0,0,0.50,-11.34,-0.25,-0.17,-0.03,0.05,A
0,2523,0,0,0,1.03,-11.37,-0.06,-0.05,-0.13,-0.12,A
0,2426,62,0,0,3.04,-9.53,0.29,-0.22,-0.03,0.07,A
0,1795,64,0,0,2.53,-9.30,-0.29,-0.33,0.11,0.08,A
0,553,0,0,0,2.45,-9.73,-0.08,0.06,0.29,-0.05,A
0,373,0,0,0,2.69,-9.83,-0.05,-0.06,0.30,0.08,A
1395,80,0,0,0,1.89,-9.91,-0.44,-0.15,0.42,0.24,A
1515,46,0,0,0,2.07,-9.45,-0.80,-0.10,0.54,-0.01,A
1585,61,0,0,0,2.26,-9.80,-0.37,-0.21,0.44,0.04,A
1498,34,0,0,0,2.20,-9.80,-0.43,-0.05,0.34,0.02,A
1479,19,0,0,0,2.49,-9.52,-0.55,0.02,0.31,-0.04,A
992,16,0,0,0,2.69,-9.81,-0.31,0.12,0.39,-0.10,A
0,0,0,0,0,2.87,-9.82,0.15,0.22,-0.07,-0.50,A
0,0,0,0,0,3.30,-9.89,0.05,-0.04,-0.01,0.31,A
1007,0,0,0,0,1.76,-10.12,0.63,0.31,-0.03,-0.06,A
1118,0,0,0,0,1.66,-9.83,0.56,-0.07,-0.22,-0.10,A
1104,0,0,0,0,1.78,-9.73,0.18,-0.12,-0.27,-0.09,A
980,0,0,0,0,1.88,-9.49,-0.12,-0.07,-0.18,-0.22,A
270,0,0,0,0,3.00,-10.52,0.54,-0.29,-0.28,-0.59,A
0,0,0,0,0,3.78,-10.01,0.31,-0.14,-0.16,0.17,A
0,374,378,494,1233,4.29,-9.07,0.47,0.02,-0.30,-0.23,A
59,0,0,0,0,3.74,-9.97,-0.25,-0.37,-0.17,0.10,A
0,112,0,0,0,2.87,-9.74,-0.95,-0.65,0.15,0.27,A
263,1897,2122,726,1392,3.10,-8.88,0.54,0.16,-0.19,0.04,A
257,0,0,0,0,3.29,-9.62,0.06,0.15,-0.18,0.09,A
231,0,0,0,0,3.16,-10.12,0.40,-0.29,-0.03,-0.03,A
68,747,445,310,973,2.94,-9.73,0.12,0.19,-0.16,-0.07,A
87,357,410,998,1105,3.98,-8.40,1.41,0.06,-0.16,-0.19,A
0,0,1202,1101,1705,2.83,-10.13,0.65,0.00,-0.04,-0.27,A
0,0,1826,609,1463,2.98,-9.60,0.26,-0.24,0.28,0.05,A
65,1933,1153,0,0,3.13,-8.83,1.38,-0.46,0.20,0.31,A
108,2699,17,0,0,4.52,-9.62,0.23,-0.26,0.10,0.08,A
0,1376,0,0,0,3.91,-9.53,0.11,-0.52,-0.04,0.23,A
201,0,21,0,0,3.69,-9.17,-1.08,-0.84,-0.04,0.27,A
330,0,233,0,0,2.27,-9.46,-0.11,-1.33,0.17,0.36,A
