Thumb,Index,Middle,Ring,Pinky,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Letter
3102,0,0,0,0,-1.56,-4.41,-8.08,-0.15,0.14,0.17,S
3294,0,0,0,0,-1.37,-4.41,-7.56,-0.11,0.13,0.13,S
3390,0,0,0,0,-1.59,-4.47,-7.68,-0.08,0.03,-0.03,S
3246,0,0,0,0,-1.52,-4.42,-7.73,-0.18,-0.06,-0.00,S
2085,0,0,0,0,-0.74,-4.40,-7.39,0.15,0.06,-0.20,S
0,0,0,0,0,-2.30,-4.39,-7.33,-0.56,-0.00,0.43,S
0,0,0,0,0,-4.54,-3.13,-10.25,0.36,0.75,0.12,S
0,0,0,0,0,-2.97,-3.46,-7.78,0.11,-0.09,0.03,S
0,0,0,0,0,-2.65,-3.27,-7.74,-0.74,-0.71,0.07,S
0,0,0,0,0,-2.16,-2.51,-7.40,-0.81,-0.84,-0.07,S
0,0,0,0,0,-2.48,-1.83,-8.13,-0.35,-0.18,0.13,S
0,0,0,0,0,-3.24,-2.67,-8.01,-0.02,0.14,0.19,S
1243,0,0,0,0,-2.67,-2.59,-7.93,-0.23,-0.12,-0.09,S
1327,0,0,0,0,-2.53,-2.64,-8.21,-0.02,0.04,-0.02,S
1633,0,0,0,0,-2.54,-2.68,-8.04,-0.03,0.19,-0.01,S
1103,0,0,0,0,-2.80,-3.48,-8.92,0.05,0.18,-0.27,S
48,0,0,0,0,0.14,-2.45,-8.34,-0.79,-1.53,-0.12,S
0,0,0,0,0,-5.35,-2.08,-9.36,0.07,0.26,-0.15,S
0,0,0,0,0,-4.51,-2.04,-8.02,-0.15,-0.12,0.05,S
0,0,0,0,0,-4.00,-2.00,-7.58,-0.11,-0.04,-0.01,S
0,0,0,0,0,-4.01,-2.15,-7.84,-0.11,-0.01,0.01,S
0,0,0,0,0,-4.38,-1.98,-7.91,-0.14,-0.12,0.05,S
0,0,0,0,0,-4.30,-1.93,-7.03,-0.29,-0.37,0.01,S
0,0,0,0,0,-4.77,-2.12,-7.37,-0.33,-0.39,-0.32,S
0,0,583,0,0,-6.04,-2.17,-6.96,-0.09,-0.29,-0.10,S
0,0,1733,0,0,-4.92,-2.33,-7.05,-0.18,0.10,0.02,S
0,0,2000,0,0,-5.02,-1.80,-7.38,-0.07,0.36,0.01,S
0,0,2128,0,0,-4.68,-1.72,-7.58,-0.09,0.10,-0.04,S
0,0,2381,0,0,-4.34,-1.78,-7.60,-0.13,0.13,-0.02,S
0,0,2402,0,0,-4.37,-1.69,-7.43,-0.11,0.02,-0.01,S
0,0,2391,0,0,-4.35,-1.72,-7.57,-0.09,0.03,-0.02,S
0,0,2467,0,0,-4.23,-1.58,-7.33,-0.09,0.04,-0.02,S
0,0,2512,0,0,-4.31,-1.70,-7.56,-0.10,-0.00,-0.00,S
0,0,2492,0,0,-4.36,-1.73,-7.69,-0.07,-0.00,0.01,S
0,0,2656,0,0,-4.57,-1.76,-7.42,-0.07,-0.10,0.00,S
0,0,2678,0,0,-4.56,-1.84,-7.44,-0.10,0.02,-0.01,S
0,0,2629,0,0,-4.37,-1.76,-7.26,-0.11,0.00,-0.02,S
0,0,2653,0,0,-4.61,-1.80,-7.54,-0.11,0.02,-0.01,S
0,0,1065,0,0,-4.10,-1.58,-7.23,0.03,0.74,-0.22,S
0,0,678,0,0,-0.25,-1.19,-3.92,0.08,-0.63,0.04,S
