Thumb,Index,Middle,Ring,Pinky,Letter
3,1506,3070,717,2381,G
37,1552,3057,691,2389,G
48,1580,3149,666,2369,G
147,1595,3157,641,2369,G
78,1603,3055,640,2377,G
37,1553,3155,693,2343,G
103,1553,3121,721,2357,G
110,1529,3077,717,2351,G
54,1535,3058,743,2317,G
127,1506,3056,712,2283,G
64,1507,3021,672,2322,G
0,1478,3042,662,2258,G
23,1482,3019,631,2413,G
0,1471,2992,650,2351,G
0,1409,2993,635,2335,G
0,1429,3071,624,2302,G
11,1479,2981,623,2330,G
67,1427,3043,642,2349,G
0,1366,3024,670,2354,G
0,1424,2992,635,2352,G
48,1421,3023,626,2343,G
0,1420,3040,656,2347,G
74,1447,2983,613,2391,G
0,1456,3029,627,2378,G
35,1405,3053,594,2390,G
66,1418,3084,609,2372,G
0,1480,3005,642,2406,G
0,1467,2995,640,2442,G
53,1478,3022,637,2385,G
71,1470,3107,632,2331,G
47,1425,3085,669,2321,G
21,1452,3091,688,2354,G
13,1487,3023,611,2390,G
0,1465,3057,624,2345,G
16,1462,3050,627,2398,G
141,1468,3061,641,2324,G
112,1472,2999,665,2385,G
0,1452,3088,659,2347,G
16,1453,2993,656,2385,G
0,1510,3009,674,2414,G
112,1507,3091,723,2386,G
106,1392,3003,739,2362,G
107,1470,3059,720,2338,G
0,1424,3030,763,2430,G
71,1341,3070,775,2427,G
91,1226,3033,754,2466,G
33,1267,2911,792,2455,G
87,1296,2960,783,2397,G
1,1435,2922,784,2397,G
65,1486,2866,750,2463,G
95,1489,2867,752,2430,G
186,1505,2928,772,2435,G
111,1550,2902,810,2391,G
84,1505,2961,813,2357,G
125,1553,2967,816,2356,G
148,1584,2901,784,2418,G
66,1584,2940,764,2347,G
127,1600,2912,771,2347,G
127,1530,2943,790,2318,G
83,1558,2913,759,2320,G
105,1472,3007,782,2261,G
71,1517,2981,782,2262,G
159,1535,2992,791,2310,G
138,1549,2927,753,2269,G
140,1510,2991,763,2270,G
197,1455,2937,722,2308,G
160,1426,2960,777,2357,G
174,1406,2899,815,2267,G
144,1466,2973,773,2281,G
103,1507,2952,809,2224,G
93,1526,2963,802,2259,G
140,1568,2945,738,2289,G
94,1495,2987,743,2279,G
23,1479,2951,796,2219,G
109,1487,2990,778,2253,G
113,1506,2975,739,2336,G
81,1513,2871,706,2347,G
160,1515,2943,692,2256,G
117,1495,2957,679,2242,G
10,1454,2942,709,2271,G
77,1473,3018,733,2203,G
95,1446,3066,703,2218,G
0,1383,2986,755,2157,G
35,1315,2992,754,2161,G
33,1349,3015,773,2160,G
82,1344,2960,736,2201,G
40,1413,2960,727,2211,G
37,1483,2941,691,2191,G
11,1392,2975,679,1890,G
0,1347,2944,715,1886,G
0,1407,2889,707,1898,G
16,1423,2925,713,1901,G
37,1363,2895,694,1911,G
24,1383,2948,711,1894,G
1,1411,2887,688,1906,G
0,1461,2896,640,1899,G
0,1449,2832,662,1952,G
0,1442,2896,694,1895,G
37,1322,2783,691,1924,G
18,1520,2833,659,1903,G
130,1482,2883,720,1865,G
27,1495,2848,695,1875,G
75,1517,2832,703,1872,G
58,1521,2818,685,1873,G
0,1535,2751,648,1937,G
33,1549,2774,673,1867,G
0,1520,2807,667,1872,G
54,1547,2780,645,1901,G
0,1524,2469,655,1890,G
0,1455,2800,697,1843,G
0,1503,2825,637,1877,G
48,1471,2780,640,1886,G
64,1460,2733,646,1923,G
67,1424,2758,675,1908,G
12,1399,2725,642,1913,G
49,1346,2756,636,1877,G
0,1301,2800,638,1843,G
0,1402,2720,611,1922,G
0,1267,2779,626,1904,G
0,1296,2678,593,1911,G
0,1232,2700,592,1946,G
0,1296,2710,602,1911,G
0,1303,2740,657,1893,G
0,1267,2719,631,1922,G
0,1334,2669,602,1979,G
0,1296,2691,629,1930,G
0,1397,2686,603,1983,G
0,1363,2713,656,1904,G
0,1411,2701,619,1962,G
0,1410,2707,606,1949,G
0,1398,2752,653,1883,G
0,1381,2754,643,1913,G
0,1379,2795,656,1873,G
0,1442,2769,645,1872,G
0,1411,2804,656,1858,G
0,1446,2772,639,1942,G
0,1427,2800,648,1875,G
62,1471,2772,597,1886,G
0,1417,2803,679,1840,G
0,1406,2795,679,1826,G
0,1435,2760,657,1819,G
62,1407,2792,645,1829,G
38,1470,2706,614,1870,G
0,1447,2725,647,1905,G
0,1391,2747,671,1867,G
0,1395,2726,627,1931,G
0,1357,2829,653,1837,G
0,1403,2753,626,1938,G
16,1379,2829,662,1872,G
64,1434,2735,615,1930,G
0,1454,2750,624,1921,G
0,1403,2762,624,1968,G
0,1403,2793,623,1967,G
0,1371,2821,660,1930,G
0,1392,2784,630,1931,G
0,1344,2768,617,1925,G
0,1358,2777,626,1922,G
0,1300,2761,609,1926,G
0,1275,2821,656,1914,G
0,1309,2841,655,1936,G
0,1306,2837,639,1923,G
0,1341,2832,588,2015,G
0,1419,2753,587,2020,G
0,1357,2802,607,1969,G
0,1318,2805,667,1980,G
0,1241,2791,642,1979,G
0,1356,2766,527,2029,G
0,1210,2815,624,2000,G
0,1238,2768,603,2002,G
0,1233,2743,578,2038,G
0,1231,2805,576,2015,G
0,1236,2795,558,1986,G
0,1152,2819,532,1986,G
0,1195,2839,605,1962,G
0,1260,2839,581,1949,G
0,1242,2768,631,1912,G
0,1297,2768,615,1909,G
0,1319,2707,589,1972,G
0,1296,2647,595,1925,G
0,1287,2675,622,1861,G
0,1326,2672,580,1917,G
0,1297,2667,581,1905,G
0,1281,2718,641,1862,G
0,1331,2704,566,1911,G
0,1349,2663,592,1893,G
0,1383,2649,586,1953,G
0,1397,2649,581,1952,G
0,1370,2640,592,1943,G
0,1381,2628,593,1972,G
0,1390,2634,579,2007,G
0,1375,2661,581,1935,G
0,1393,2666,591,1975,G
0,1260,2448,688,1953,G
0,1359,2701,633,1918,G
0,1375,2672,588,1947,G
0,1360,2688,613,1935,G
0,1366,2720,598,1936,G
0,1408,2685,590,1984,G
0,1301,2724,658,1905,G
0,1345,2697,654,1936,G
0,1231,2657,634,1999,G
0,1346,2661,640,2013,G
0,1329,2667,680,1979,G
0,1211,2585,653,2032,G
0,1251,2636,622,1979,G
0,1249,2645,633,2000,G
0,1291,2695,659,1979,G
0,1186,2671,602,2021,G
0,1033,2631,637,2080,G
0,811,2715,660,2001,G
194,1250,2769,654,2042,G
432,1370,2783,641,2041,G
1621,1405,2717,688,1936,G
1792,1509,2650,633,1901,G
1249,1383,2709,602,1931,G
1299,1406,2730,666,1927,G
1170,1363,2692,661,1968,G
912,1215,2695,609,1984,G
647,1242,2597,507,2013,G
770,1318,2655,635,1970,G
707,1221,2614,628,2000,G
719,1297,2635,591,2017,G
521,1215,2605,509,2026,G
685,1270,2630,533,2043,G
725,1366,2640,592,2029,G
633,1418,2618,597,2029,G
560,1383,2640,582,2001,G
432,1379,2619,534,2042,G
346,1408,2672,561,2000,G
285,1412,2677,586,2020,G
384,1381,2672,566,2003,G
281,1345,2637,579,1999,G
173,1414,2608,622,1979,G
205,1457,2523,566,2000,G
159,1461,2578,582,2000,G
151,1379,2589,578,1991,G
91,1401,2574,617,1975,G
76,1318,2599,619,1977,G
0,1455,2575,545,2037,G
0,1456,2559,523,2064,G
0,1435,2611,599,1959,G
0,1435,2590,617,1936,G
0,1471,2538,561,1993,G
0,1427,2543,475,1985,G
0,1507,2509,574,1966,G
0,1439,2496,622,1947,G
0,1426,2461,567,1980,G
0,1385,2544,589,1934,G
0,1453,2541,541,1920,G
0,1428,2589,489,1922,G
0,1408,2576,500,1943,G
0,1410,2546,560,1967,G
0,1453,2509,587,1989,G
0,1523,2542,594,1935,G
0,1478,2543,586,1986,G
14,1268,2653,599,1945,G
107,1344,2657,655,1957,G
76,1348,2637,643,1941,G
238,1328,2626,686,1950,G
251,1347,2637,682,1936,G
135,1390,2570,625,1987,G
0,1296,2605,637,1970,G
0,1368,2526,615,1987,G
0,1325,2555,623,1939,G
0,1392,2559,643,1948,G
0,1488,2527,609,2015,G
0,1438,2592,629,1935,G
0,1424,2583,651,1937,G
0,1424,2591,627,1946,G
0,1474,2597,593,1987,G
